Time,Hashrate
2026-03-21 13:24:28,0.00
2026-03-21 13:24:37,0.00
2026-03-21 13:24:38,0.00
2026-03-21 13:30:02,0.00
2026-03-21 13:30:10,0.00
2026-03-21 13:30:12,0.00
2026-03-21 13:30:22,0.00
2026-03-21 13:31:55,0.00
2026-03-21 13:32:04,118.88
2026-03-21 13:32:04,118.88
2026-03-21 13:32:05,118.88
2026-03-21 13:32:15,120.53
2026-03-21 13:32:15,120.53
2026-03-21 13:32:25,120.53
2026-03-21 13:32:35,120.53
2026-03-21 13:32:45,122.00
2026-03-21 13:32:45,122.00
2026-03-21 13:32:55,122.00
2026-03-21 13:33:05,122.00
2026-03-21 13:33:15,118.96
2026-03-21 13:33:15,118.96
2026-03-21 13:33:22,120.38
2026-03-21 13:33:25,120.38
2026-03-21 13:33:35,120.38
2026-03-21 13:33:45,118.81
2026-03-21 13:33:45,118.81
2026-03-21 13:33:55,118.81
2026-03-21 13:34:05,118.81
2026-03-21 13:34:15,119.29
2026-03-21 13:34:15,119.29
2026-03-21 13:34:22,121.41
2026-03-21 13:34:25,121.41
2026-03-21 20:12:21,0.00
2026-03-21 20:12:29,121.91
2026-03-21 20:12:29,121.91
2026-03-21 20:12:31,121.91
2026-03-21 20:12:41,121.14
2026-03-21 20:12:41,121.14
2026-03-21 20:12:51,121.14
2026-03-21 20:13:01,121.14
2026-03-21 20:13:11,120.72
2026-03-21 20:13:11,120.72
2026-03-21 20:13:21,120.72
2026-03-21 20:13:31,120.72
2026-03-21 20:13:41,119.84
2026-03-21 20:13:41,119.84
2026-03-21 20:13:48,122.00
2026-03-21 20:13:51,122.00
2026-03-21 20:14:01,122.00
