Time,Hashrate
2026-03-21 16:59:32,119.62
2026-03-21 16:59:32,119.62
2026-03-21 16:59:34,119.62
2026-03-21 17:01:42,118.56
2026-03-21 17:01:42,118.56
2026-03-21 17:01:44,118.56
2026-03-21 17:01:54,122.00
2026-03-21 17:01:54,122.00
2026-03-21 17:02:04,122.00
2026-03-21 17:02:14,122.00
2026-03-21 17:02:24,118.36
2026-03-21 17:02:24,118.36
2026-03-21 17:02:34,118.36
2026-03-21 17:02:44,118.36
2026-03-21 17:02:54,120.90
2026-03-21 17:02:54,120.90
2026-03-21 17:03:01,118.85
2026-03-21 17:03:04,118.85
2026-03-21 17:03:14,118.85
2026-03-21 17:03:24,120.83
2026-03-21 17:03:24,120.83
2026-03-21 17:03:34,120.83
2026-03-21 17:03:44,120.83
2026-03-21 17:03:54,121.23
2026-03-21 17:03:54,121.23
2026-03-21 17:04:01,121.66
2026-03-21 17:04:04,121.66
2026-03-21 17:04:14,121.66
2026-03-21 17:04:24,118.00
2026-03-21 17:04:24,118.00
2026-03-21 17:04:34,118.00
2026-03-21 17:04:44,118.00
2026-03-21 17:04:54,121.68
2026-03-21 17:04:54,121.68
2026-03-21 17:05:01,121.83
2026-03-21 17:05:04,121.83
2026-03-21 17:05:14,121.83
2026-03-21 21:50:17,121.26
2026-03-21 21:50:17,121.26
2026-03-21 21:50:18,121.26
2026-03-21 21:53:13,120.19
2026-03-21 21:53:13,120.19
