Time,Hashrate
2026-03-20 18:20:27,0.00
2026-03-20 18:20:56,118.89
2026-03-20 18:20:56,118.89
2026-03-20 18:20:56,118.89
2026-03-20 18:20:56,120.96
2026-03-20 18:20:57,120.96
2026-03-20 18:21:07,120.96
2026-03-20 18:21:17,119.67
2026-03-20 18:21:17,119.67
2026-03-20 18:21:27,119.67
2026-03-20 18:21:37,119.67
2026-03-21 13:35:07,0.00
2026-03-21 13:35:15,121.52
2026-03-21 13:35:15,121.52
2026-03-21 13:35:17,121.52
2026-03-21 13:36:52,0.00
2026-03-21 13:37:00,122.00
2026-03-21 13:37:01,122.00
2026-03-21 13:37:02,122.00
2026-03-21 13:37:12,118.02
2026-03-21 13:37:12,118.02
2026-03-21 13:37:22,118.02
2026-03-21 13:37:32,118.02
2026-03-21 13:37:42,122.00
2026-03-21 13:37:42,122.00
